Fecha,precio_cierre,precio_maximo,precio_minimo,Precio promedio ponderado,Variacion porcentual,Variacion absoluta,cantidad,volumen,ticker,log_ret_30,roc_30,log_ret_60,roc_60,log_ret_90,roc_90,ret_diario,volatilidad_20d,atr_14,volumen_ma20,volumen_relativo,max_52w,min_52w,prox_max_52w,prox_min_52w,rsi_14,dist_sma_20
2024-05-11,7700.0,7700.0,7100.0,7558.65,0.0,0.0,28813.0,217787470.0,PROMIGAS,0.36599467588753465,0.44194756554307113,0.5919511685783592,0.807511737089202,0.5593885410306838,0.7496023630992956,0.026666666666666616,0.1587761221279395,722.8571428571429,191836996.25,1.1352735617074636,8180.0,4000.0,0.9413202932834571,1.9249999995187501,63.88888877595399,0.15559224100017374
2024-05-12,7700.0,7700.0,7700.0,7700.75,0.0,0.0,13069.0,100641110.0,PROMIGAS,0.15415067982725836,0.16666666666666674,0.6109090823229731,0.8421052631578947,0.6013852008117178,0.8246445497630333,0.0,0.15822403836404017,608.5714285714286,193028848.75,0.5213785952292764,8180.0,4000.0,0.9413202932834571,1.9249999995187501,54.746835321763335,0.155505533647645
2024-06-02,5020.0,5020.0,5020.0,5052.96,-1.57,-80.0,7440.0,37594020.0,PROMIGAS,-0.346664850343632,-0.2929577464788733,0.19032159946103092,0.2096385542168675,0.17501761832164056,0.19126720455624113,-0.34805194805194806,0.1777612651737205,788.5714285714286,192354440.75,0.19544139378024628,8180.0,4000.0,0.6136919314653189,1.25499999968625,37.33031668296104,-0.23121099579138388
2024-06-03,5290.0,5290.0,5120.0,5211.29,3.73,190.0,15395.0,80227840.0,PROMIGAS,-0.3096507054266497,-0.26629680998613037,0.1830779864820652,0.20090805902383657,0.18421370494599262,0.20227272727272738,0.05378486055776888,0.1782249488610114,790.7142857142857,185367374.75,0.4328045326649347,8180.0,4000.0,0.6466992664246088,1.3224999996693751,37.542277280091106,-0.17463041694821851
2024-06-05,6650.0,6650.0,6600.0,6620.98,0.76,50.0,43569.0,288469350.0,PROMIGAS,-0.1466034741918754,-0.13636363636363635,0.36834318349443124,0.4453379700065203,0.44089751723308296,0.5541014255667212,0.2570888468809074,0.16287786699683668,873.5714285714286,184826005.75,1.5607616949218113,8180.0,4000.0,0.8129584351084402,1.662499999584375,44.7657028288415,0.0224477244737934
2024-06-06,7190.0,7190.0,7100.0,7109.1,1.27,90.0,52194.0,371052140.0,PROMIGAS,-0.06852915712668281,-0.0662337662337662,0.5395132247142143,0.7151717557251909,0.5395132247142143,0.7151717557251909,0.08120300751879705,0.16300525179795697,912.1428571428571,199549988.25,1.8594445595012363,8180.0,4000.0,0.8789731050270204,1.7974999995506251,47.5875117628926,0.0879927366137561
2024-06-08,7500.0,7500.0,7250.0,7401.83,0.27,20.0,41789.0,309314890.0,PROMIGAS,-0.026317308317373417,-0.025974025974025983,0.6039160468320027,0.8292682926829269,0.5942072327050417,0.8115942028985508,0.04311543810848395,0.16266092619782355,726.4285714285714,191141596.75,1.6182500055420217,8180.0,4000.0,0.9168704155358349,1.87499999953125,66.58354103090156,0.11798464632660287
2024-06-09,7500.0,7500.0,7250.0,7594.07,0.27,20.0,118.0,896100.0,PROMIGAS,0.4845083154486173,0.6233766233766234,0.46734051182625186,0.5957446808510638,0.5330712327133105,0.7041581458759374,0.0,0.15063875214646355,725.7142857142857,180448330.75,0.0049659644745702084,8180.0,4000.0,0.9168704155358349,1.87499999953125,65.46391740766819,0.11466151443640313
2024-06-11,7700.0,7700.0,7700.0,7700.99,0.27,0.0,16354.0,125942060.0,PROMIGAS,0.36599467588753465,0.44194756554307113,0.586099776809895,0.7969661610268377,0.630233355149376,0.8780487804878048,0.026666666666666616,0.1506522005293981,740.0,176876761.25,0.7120328250582962,8180.0,4000.0,0.9413202932834571,1.9249999995187501,66.33165817479357,0.1406562476645202
2024-06-12,7700.0,7700.0,7700.0,7697.97,0.27,0.0,4463.0,34356030.0,PROMIGAS,0.15415067982725836,0.16666666666666674,0.614263986020858,0.8482957273163707,0.574498718627133,0.776239907727797,0.0,0.15062946848090003,711.4285714285714,177303416.75,0.1937697007184144,8180.0,4000.0,0.9413202932834571,1.9249999995187501,64.59709367181514,0.138969011147257
